TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
VIVT3;44.73;5.76;17.87;1.08;0.61;42.96;13.84;8.43;10.88;13.21;2.02;0.2;1.51;-27.66;-0.74;0.89;6.05;3.42;6.88;0.56;0.44;0.41;2.14;-2.01;109039168;41.34;2.5;-0.57;74410892578
VIVT4;45.34;;18.12;1.1;0.62;42.96;13.84;8.43;11.03;13.21;2.02;0.2;1.53;-28.04;-0.75;0.89;6.05;3.42;6.88;0.56;0.44;0.41;2.14;-2.01;;41.34;2.5;-0.58;74410892578
VLID3;16;5.71;7.99;1.01;0.5;39.32;18.84;8.63;3.66;5.07;1.28;0.35;0.69;2.06;-0.96;2.03;12.68;6.28;15.27;0.49;0.49;0.73;3.6;42.7;7246053.03;15.79;2;0.05;1309382000
VSPT3;4.99;;-0.32;0.37;0.11;5.37;-46.42;-68.65;-0.47;-0.98;-0.52;0.41;0.22;-2.8;-0.13;0.79;-118.11;-34.47;-64.75;0.29;0.71;0.5;7.49;;;13.4;-15.83;0;712610842.2
VSPT4;0;;0;0;0;5.37;-46.42;-68.65;0;-0.98;-0.52;0.41;0;0;0;0.79;-118.11;-34.47;-64.75;0.29;0.71;0.5;7.49;;;13.4;-15.83;0;712610842.2
VSTE3;12.03;0.96;8.03;1.33;0.82;64.33;18.81;15.19;6.49;7.7;1.23;0.25;1.22;7;-1.22;1.56;16.54;10.18;7.51;0.62;0.38;0.67;-3.13;-16.59;237978.79;9.05;1.5;-0.07;1364525896
VULC3;17.5;3.45;8.05;2.27;1.58;39.23;18.67;19.83;8.55;9.13;0.2;0.05;1.6;3.15;-5;3.71;28.24;19.59;20.83;0.69;0.31;0.99;14.97;23.13;8959009.59;7.7;2.17;0.17;4303534270
VVAR11;14.58;;-30.01;7.52;1.05;30.67;1.83;-3.76;61.78;16.05;13.93;1.7;1.13;-9.43;-1.84;0.79;-25.05;-3.5;-4.45;0.14;0.86;0.93;3.76;;;1.94;-0.49;-0.31;1140998675
VVAR4;95.68;;-196.92;49.34;6.9;30.67;1.83;-3.76;405.42;16.05;13.93;1.7;7.41;-61.87;-12.09;0.79;-25.05;-3.5;-4.45;0.14;0.86;0.93;3.76;;;1.94;-0.49;-2.02;1140998675
VVEO3;15.45;1.79;23.82;2.1;0.55;16.23;6;2.05;8.12;12.22;3.76;0.97;0.49;2.2;-1.25;1.83;8.82;2.33;9.96;0.26;0.74;1.14;;;8532377.51;7.36;0.65;-0.89;4987578394
WEGE3;31.63;1.89;26.71;8.23;4.41;31.56;18.8;15.7;22.31;22.66;-0.48;-0.18;4.19;13.8;-14.23;1.86;30.82;16.52;25.44;0.54;0.45;1.05;25.71;34.19;277891928.1;3.84;1.18;0.66;1.32761E+11
WEST3;1.23;;-2.34;0.47;0.35;42.46;-35.85;-26.27;-1.71;-0.18;1.55;-0.43;0.61;0.83;-0.9;3.16;-20.29;-14.88;-25.86;0.73;0.27;0.57;367.94;;478893;2.59;-0.53;-0.08;136132210.6
WHRL3;4.27;4.38;18.24;2.69;0.73;15.89;7.1;3.25;8.36;7.33;-0.97;-0.31;0.59;14.24;-2.47;1.08;14.73;4.02;17.66;0.27;0.73;1.24;12.32;-4.2;12619.92;1.59;0.23;-0.32;6388451139
WHRL4;4.21;4.89;17.99;2.65;0.72;15.89;7.1;3.25;8.24;7.33;-0.97;-0.31;0.58;14.04;-2.44;1.08;14.73;4.02;17.66;0.27;0.73;1.24;12.32;-4.2;28067.92;1.59;0.23;-0.32;6388451139
WIZC3;5;8.9;7.62;1.93;0.34;58.2;36.98;10.49;2.16;2.33;0.12;0.1;0.8;-7.37;-0.44;0.84;25.32;4.42;21.69;0.17;0.59;0.42;12.37;-8.01;4321554.59;2.59;0.66;-0.46;799536410
WLMM3;28.04;2.35;9.01;1.56;1.08;12.56;7.05;5.11;6.53;7.6;-0.01;0;0.46;2.94;-2.83;2.48;17.35;12.01;13.8;0.69;0.31;2.35;32.16;;7775.25;17.94;3.11;0.74;1204817694
WLMM4;37.3;1.94;11.98;2.08;1.44;12.56;7.05;5.11;8.68;7.6;-0.01;0;0.61;3.9;-3.76;2.48;17.35;12.01;13.8;0.69;0.31;2.35;32.16;;91697.97;17.94;3.11;0.99;1204817694
YDUQ3;18.4;;51.62;1.81;0.58;58.53;16.35;2.27;7.16;12.68;5.37;1.36;1.17;6.16;-0.8;1.56;3.51;1.13;8.82;0.32;0.68;0.5;6.2;-23.65;102679002.2;10.16;0.36;0.06;5687234858
ZAMP3;6.25;;-15.44;1.26;0.43;64.96;2.25;-2.95;20.25;29.18;8.64;0.54;0.46;12.91;-0.55;1.18;-8.15;-2.77;2.35;0.34;0.66;0.94;15.36;;13935330.74;4.97;-0.4;-0.35;1720971544
