TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SYNE3;4.03;;-17.12;0.41;0.15;49.18;32.31;-8.48;4.49;9.67;5.04;0.46;1.45;1.92;-0.17;4.21;-2.38;-0.9;3.01;0.38;0.36;0.11;1.23;;841353.82;9.87;-0.24;0.17;615157113.4
TAEE11;33.96;9.96;10.02;1.75;0.62;70.93;77.68;49.81;6.42;10.94;4.45;1.21;4.99;4.86;-0.77;3.03;17.46;6.21;10.59;0.36;0.64;0.12;19.43;12.49;69435404;19.42;3.39;-0.23;11699182882
TAEE3;11.27;10;9.97;1.74;0.62;70.93;77.68;49.81;6.4;10.94;4.45;1.21;4.97;4.83;-0.77;3.03;17.46;6.21;10.59;0.36;0.64;0.12;19.43;12.49;1632569.1;6.47;1.13;-0.23;11699182882
TAEE4;11.36;9.92;10.05;1.76;0.62;70.93;77.68;49.81;6.45;10.94;4.45;1.21;5.01;4.87;-0.77;3.03;17.46;6.21;10.59;0.36;0.64;0.12;19.43;12.49;2985188.38;6.47;1.13;-0.23;11699182882
TASA3;14.82;9.42;6.08;1.77;0.92;40.56;21.22;14.27;4.09;4.76;0.53;0.23;0.87;4.38;-2.24;1.55;29.14;15.04;20.55;0.52;0.48;1.05;29.58;;203241.03;8.36;2.44;-0.11;1882335550
TASA4;14.89;9.37;6.11;1.78;0.92;40.56;21.22;14.27;4.11;4.76;0.53;0.23;0.87;4.4;-2.25;1.55;29.14;15.04;20.55;0.52;0.48;1.05;29.58;;6647381.74;8.36;2.44;-0.11;1882335550
TCNO3;1.2;;-7.52;-8.4;0.03;;;;-6.81;-34.51;-28.98;;;-0.08;-0.04;0.28;-111.63;-0.45;-3.55;0;1;0;;;;-0.14;-0.16;-0.28;6451072.5
TCNO4;0.85;;-5.33;-5.95;0.02;;;;-4.82;-34.51;-28.98;;;-0.06;-0.03;0.28;-111.63;-0.45;-3.55;0;1;0;;;;-0.14;-0.16;-0.2;6451072.5
TCSA3;2.97;;8.36;0.37;0.14;16.4;11.14;6.69;5.02;16.82;11.54;0.84;0.56;0.37;-0.3;3.54;4.37;1.67;2.52;0.38;0.6;0.25;-5.08;;394496.9;8.13;0.36;-0.07;218649113.1
TECN3;3.32;2.47;4.87;0.64;0.37;55.06;16.52;14.03;4.14;4.15;-0.04;-0.01;0.68;0.75;-1.03;4.32;13.16;7.57;10.41;0.57;0.43;0.54;0.65;;556811.15;5.18;0.68;0.12;235408633.8
